"","source","target","weight","date"
"1","fa10-01-01","sp10-01-53",0,2010-09-01
"2","fa10-01-01","sp10-01-38",0,2010-09-01
"3","fa10-01-01","sp10-01-39",0,2010-09-01
"4","fa10-01-01","fa10-01-81",0,2010-09-01
"5","fa10-01-01","fa10-01-78",0,2010-09-01
"6","fa10-01-01","fa10-01-67",0,2010-09-01
"7","fa10-01-01","fa10-01-68",0,2010-09-01
"8","fa10-01-01","fa10-01-73",0,2010-09-01
"9","fa10-01-01","fa10-01-74",0,2010-09-01
"10","fa10-01-01","fa10-01-15",0,2010-09-01
"11","fa10-01-01","fa10-01-19",0,2010-09-01
"12","fa10-01-01","fa10-01-85",0,2010-09-01
"13","fa10-01-01","fa10-01-86",0,2010-09-01
"14","fa10-01-01","sp10-01-24",0,2010-09-01
"15","fa10-01-01","fa10-01-17",2,2010-09-01
"16","fa10-01-01","fa10-01-18",2,2010-09-01
"17","fa10-01-01","fa10-01-04",0,2010-09-01
"18","fa10-01-01","fa10-01-06",0,2010-09-01
"19","fa10-01-01","fa10-01-45",0,2010-09-01
"20","fa10-01-01","sp10-01-13",0,2010-09-01
"21","fa10-01-01","fa10-01-07",0,2010-09-01
"22","fa10-01-01","sp10-01-46",0,2010-09-01
"23","fa10-01-01","sp10-01-44",0,2010-09-01
"24","fa10-01-01","sp10-01-06",0,2010-09-01
"25","fa10-01-01","fa10-01-83",0,2010-09-01
"26","fa10-01-01","fa10-01-14",0,2010-09-01
"27","fa10-01-01","fa10-01-13",0,2010-09-01
"28","fa10-01-01","fa10-01-05",0,2010-09-01
"29","fa10-01-01","fa10-01-75",0,2010-09-01
"30","fa10-01-01","fa10-01-01",7,2010-09-01
"31","fa10-01-01","fa10-01-02",7,2010-09-01
"32","fa10-01-01","fa10-01-20",0,2010-09-01
"33","fa10-01-01","fa10-01-76",0,2010-09-01
"34","fa10-01-01","fa10-01-58",0,2010-09-01
"35","fa10-01-01","fa10-01-21",0,2010-09-01
"36","fa10-01-01","sp10-01-28",0,2010-09-01
"37","fa10-01-01","sp10-01-26",0,2010-09-01
"38","fa10-01-01","sp10-01-55",0,2010-09-01
"39","fa10-01-01","sp10-01-05",0,2010-09-01
"40","fa10-01-01","sp10-01-35",0,2010-09-01
"41","fa10-01-01","fa10-01-35",0,2010-09-01
"42","fa10-01-01","fa10-01-40",0,2010-09-01
"43","fa10-01-01","fa10-01-60",0,2010-09-01
"44","fa10-01-01","sp10-01-23",0,2010-09-01
"45","fa10-01-01","sp10-01-11",0,2010-09-01
"46","fa10-01-01","sp10-01-12",0,2010-09-01
"47","fa10-01-01","sp10-01-07",0,2010-09-01
"48","fa10-01-01","sp10-01-08",0,2010-09-01
"49","fa10-01-01","fa10-01-24",0,2010-09-01
"50","fa10-01-01","fa10-01-39",0,2010-09-01
"51","fa10-01-01","sp10-01-19",0,2010-09-01
"52","fa10-01-01","sp10-01-34",0,2010-09-01
"53","fa10-01-01","fa10-01-69",0,2010-09-01
"54","fa10-01-01","sp10-01-32",0,2010-09-01
"55","fa10-01-01","sp10-01-42",0,2010-09-01
"56","fa10-01-01","sp10-01-40",0,2010-09-01
"57","fa10-01-01","sp10-01-41",0,2010-09-01
